,LotSize,,Objective fn value
"(1, 1, 1)",0,,106999
"(1, 1, 2)",350,,
"(1, 1, 3)",390,,
"(1, 1, 4)",473,,
"(1, 1, 5)",374,,
"(1, 2, 1)",0,,
"(1, 2, 2)",0,,
"(1, 2, 3)",0,,
"(1, 2, 4)",0,,
"(1, 2, 5)",0,,
"(1, 3, 1)",0,,
"(1, 3, 2)",0,,
"(1, 3, 3)",66,,
"(1, 3, 4)",221,,
"(1, 3, 5)",182,,
"(1, 4, 1)",0,,
"(1, 4, 2)",0,,
"(1, 4, 3)",0,,
"(1, 4, 4)",0,,
"(1, 4, 5)",0,,
"(2, 5, 1)",0,,
"(2, 5, 2)",79,,
"(2, 5, 3)",156,,
"(2, 5, 4)",174,,
"(2, 5, 5)",163,,
"(2, 6, 1)",0,,
"(2, 6, 2)",104,,
"(2, 6, 3)",154,,
"(2, 6, 4)",155,,
"(2, 6, 5)",166,,
"(2, 7, 1)",0,,
"(2, 7, 2)",0,,
"(2, 7, 3)",94,,
"(2, 7, 4)",109,,
"(2, 7, 5)",126,,
"(2, 8, 1)",0,,
"(2, 8, 2)",0,,
"(2, 8, 3)",18,,
"(2, 8, 4)",58,,
"(2, 8, 5)",48,,
"(6, 9, 1)",0,,
"(6, 9, 2)",70,,
"(6, 9, 3)",151,,
"(6, 9, 4)",171,,
"(6, 9, 5)",166,,
"(6, 10, 1)",0,,
"(6, 10, 2)",164,,
"(6, 10, 3)",151,,
"(6, 10, 4)",162,,
"(6, 10, 5)",166,,
"(6, 11, 1)",0,,
"(6, 11, 2)",125,,
"(6, 11, 3)",181,,
"(6, 11, 4)",163,,
"(6, 11, 5)",144,,
"(7, 12, 1)",0,,
"(7, 12, 2)",5,,
"(7, 12, 3)",107,,
"(7, 12, 4)",114,,
"(7, 12, 5)",135,,
"(7, 13, 1)",0,,
"(7, 13, 2)",0,,
"(7, 13, 3)",11,,
"(7, 13, 4)",55,,
"(7, 13, 5)",49,,
"(4, 14, 1)",0,,
"(4, 14, 2)",139,,
"(4, 14, 3)",164,,
"(4, 14, 4)",181,,
"(4, 14, 5)",184,,
"(4, 15, 1)",0,,
"(4, 15, 2)",75,,
"(4, 15, 3)",163,,
"(4, 15, 4)",176,,
"(4, 15, 5)",186,,
"(4, 16, 1)",0,,
"(4, 16, 2)",165,,
"(4, 16, 3)",160,,
"(4, 16, 4)",172,,
"(4, 16, 5)",162,,
"(4, 17, 1)",0,,
"(4, 17, 2)",98,,
"(4, 17, 3)",165,,
"(4, 17, 4)",188,,
"(4, 17, 5)",185,,
"(5, 18, 1)",0,,
"(5, 18, 2)",1,,
"(5, 18, 3)",152,,
"(5, 18, 4)",158,,
"(5, 18, 5)",168,,
"(5, 19, 1)",0,,
"(5, 19, 2)",115,,
"(5, 19, 3)",152,,
"(5, 19, 4)",160,,
"(5, 19, 5)",163,,
"(5, 20, 1)",0,,
"(5, 20, 2)",103,,
"(5, 20, 3)",152,,
"(5, 20, 4)",148,,
"(5, 20, 5)",161,,
"(3, 21, 1)",0,,
"(3, 21, 2)",93,,
"(3, 21, 3)",165,,
"(3, 21, 4)",180,,
"(3, 21, 5)",179,,
"(3, 22, 1)",0,,
"(3, 22, 2)",119,,
"(3, 22, 3)",169,,
"(3, 22, 4)",170,,
"(3, 22, 5)",187,,
