,LotSize,,Objective fn value
"(1, 1, 1)",28,,51556
"(1, 1, 2)",360,,
"(1, 1, 3)",368,,
"(1, 1, 4)",364,,
"(1, 1, 5)",376,,
"(1, 2, 1)",0,,
"(1, 2, 2)",0,,
"(1, 2, 3)",0,,
"(1, 2, 4)",0,,
"(1, 2, 5)",0,,
"(1, 3, 1)",0,,
"(1, 3, 2)",0,,
"(1, 3, 3)",138,,
"(1, 3, 4)",214,,
"(1, 3, 5)",190,,
"(1, 4, 1)",0,,
"(1, 4, 2)",0,,
"(1, 4, 3)",0,,
"(1, 4, 4)",0,,
"(1, 4, 5)",8,,
"(2, 5, 1)",47,,
"(2, 5, 2)",145,,
"(2, 5, 3)",147,,
"(2, 5, 4)",157,,
"(2, 5, 5)",136,,
"(2, 6, 1)",0,,
"(2, 6, 2)",102,,
"(2, 6, 3)",143,,
"(2, 6, 4)",143,,
"(2, 6, 5)",130,,
"(2, 7, 1)",3,,
"(2, 7, 2)",109,,
"(2, 7, 3)",95,,
"(2, 7, 4)",114,,
"(2, 7, 5)",95,,
"(2, 8, 1)",0,,
"(2, 8, 2)",31,,
"(2, 8, 3)",42,,
"(2, 8, 4)",36,,
"(2, 8, 5)",38,,
"(6, 9, 1)",0,,
"(6, 9, 2)",64,,
"(6, 9, 3)",139,,
"(6, 9, 4)",140,,
"(6, 9, 5)",129,,
"(6, 10, 1)",72,,
"(6, 10, 2)",149,,
"(6, 10, 3)",139,,
"(6, 10, 4)",143,,
"(6, 10, 5)",135,,
"(6, 11, 1)",0,,
"(6, 11, 2)",113,,
"(6, 11, 3)",130,,
"(6, 11, 4)",134,,
"(6, 11, 5)",134,,
"(7, 12, 1)",0,,
"(7, 12, 2)",36,,
"(7, 12, 3)",92,,
"(7, 12, 4)",104,,
"(7, 12, 5)",93,,
"(7, 13, 1)",0,,
"(7, 13, 2)",16,,
"(7, 13, 3)",42,,
"(7, 13, 4)",34,,
"(7, 13, 5)",36,,
"(4, 14, 1)",129,,
"(4, 14, 2)",155,,
"(4, 14, 3)",146,,
"(4, 14, 4)",151,,
"(4, 14, 5)",141,,
"(4, 15, 1)",1,,
"(4, 15, 2)",161,,
"(4, 15, 3)",152,,
"(4, 15, 4)",156,,
"(4, 15, 5)",136,,
"(4, 16, 1)",0,,
"(4, 16, 2)",54,,
"(4, 16, 3)",149,,
"(4, 16, 4)",151,,
"(4, 16, 5)",131,,
"(4, 17, 1)",63,,
"(4, 17, 2)",161,,
"(4, 17, 3)",148,,
"(4, 17, 4)",146,,
"(4, 17, 5)",149,,
"(5, 18, 1)",0,,
"(5, 18, 2)",41,,
"(5, 18, 3)",137,,
"(5, 18, 4)",175,,
"(5, 18, 5)",132,,
"(5, 19, 1)",0,,
"(5, 19, 2)",123,,
"(5, 19, 3)",137,,
"(5, 19, 4)",166,,
"(5, 19, 5)",133,,
"(5, 20, 1)",102,,
"(5, 20, 2)",182,,
"(5, 20, 3)",185,,
"(5, 20, 4)",175,,
"(5, 20, 5)",134,,
"(3, 21, 1)",61,,
"(3, 21, 2)",157,,
"(3, 21, 3)",153,,
"(3, 21, 4)",160,,
"(3, 21, 5)",133,,
"(3, 22, 1)",105,,
"(3, 22, 2)",161,,
"(3, 22, 3)",151,,
"(3, 22, 4)",160,,
"(3, 22, 5)",146,,
