,LotSize,,Objective fn value
"(1, 1, 1)",216,,76763
"(1, 1, 2)",429,,
"(1, 1, 3)",412,,
"(1, 1, 4)",376,,
"(1, 1, 5)",385,,
"(1, 2, 1)",0,,
"(1, 2, 2)",0,,
"(1, 2, 3)",0,,
"(1, 2, 4)",0,,
"(1, 2, 5)",0,,
"(1, 3, 1)",0,,
"(1, 3, 2)",87,,
"(1, 3, 3)",261,,
"(1, 3, 4)",261,,
"(1, 3, 5)",261,,
"(1, 4, 1)",0,,
"(1, 4, 2)",0,,
"(1, 4, 3)",0,,
"(1, 4, 4)",0,,
"(1, 4, 5)",0,,
"(2, 5, 1)",0,,
"(2, 5, 2)",97,,
"(2, 5, 3)",163,,
"(2, 5, 4)",145,,
"(2, 5, 5)",162,,
"(2, 6, 1)",0,,
"(2, 6, 2)",11,,
"(2, 6, 3)",166,,
"(2, 6, 4)",151,,
"(2, 6, 5)",159,,
"(2, 7, 1)",0,,
"(2, 7, 2)",102,,
"(2, 7, 3)",117,,
"(2, 7, 4)",107,,
"(2, 7, 5)",137,,
"(2, 8, 1)",5,,
"(2, 8, 2)",29,,
"(2, 8, 3)",24,,
"(2, 8, 4)",49,,
"(2, 8, 5)",29,,
"(6, 9, 1)",38,,
"(6, 9, 2)",165,,
"(6, 9, 3)",165,,
"(6, 9, 4)",155,,
"(6, 9, 5)",164,,
"(6, 10, 1)",0,,
"(6, 10, 2)",110,,
"(6, 10, 3)",162,,
"(6, 10, 4)",146,,
"(6, 10, 5)",158,,
"(6, 11, 1)",0,,
"(6, 11, 2)",51,,
"(6, 11, 3)",166,,
"(6, 11, 4)",139,,
"(6, 11, 5)",158,,
"(7, 12, 1)",46,,
"(7, 12, 2)",114,,
"(7, 12, 3)",114,,
"(7, 12, 4)",102,,
"(7, 12, 5)",113,,
"(7, 13, 1)",0,,
"(7, 13, 2)",39,,
"(7, 13, 3)",47,,
"(7, 13, 4)",45,,
"(7, 13, 5)",45,,
"(4, 14, 1)",0,,
"(4, 14, 2)",68,,
"(4, 14, 3)",170,,
"(4, 14, 4)",164,,
"(4, 14, 5)",168,,
"(4, 15, 1)",0,,
"(4, 15, 2)",104,,
"(4, 15, 3)",172,,
"(4, 15, 4)",154,,
"(4, 15, 5)",165,,
"(4, 16, 1)",42,,
"(4, 16, 2)",171,,
"(4, 16, 3)",171,,
"(4, 16, 4)",150,,
"(4, 16, 5)",160,,
"(4, 17, 1)",0,,
"(4, 17, 2)",147,,
"(4, 17, 3)",175,,
"(4, 17, 4)",160,,
"(4, 17, 5)",165,,
"(5, 18, 1)",0,,
"(5, 18, 2)",151,,
"(5, 18, 3)",176,,
"(5, 18, 4)",174,,
"(5, 18, 5)",173,,
"(5, 19, 1)",0,,
"(5, 19, 2)",43,,
"(5, 19, 3)",164,,
"(5, 19, 4)",144,,
"(5, 19, 5)",152,,
"(5, 20, 1)",90,,
"(5, 20, 2)",173,,
"(5, 20, 3)",173,,
"(5, 20, 4)",139,,
"(5, 20, 5)",149,,
"(3, 21, 1)",0,,
"(3, 21, 2)",28,,
"(3, 21, 3)",168,,
"(3, 21, 4)",177,,
"(3, 21, 5)",184,,
"(3, 22, 1)",0,,
"(3, 22, 2)",156,,
"(3, 22, 3)",163,,
"(3, 22, 4)",174,,
"(3, 22, 5)",162,,
