,LotSize,,Objective fn value
"(1, 1, 1)",0,,367220
"(1, 1, 2)",0,,
"(1, 1, 3)",0,,
"(1, 1, 4)",0,,
"(1, 1, 5)",173,,
"(1, 2, 1)",0,,
"(1, 2, 2)",0,,
"(1, 2, 3)",0,,
"(1, 2, 4)",0,,
"(1, 2, 5)",0,,
"(1, 3, 1)",0,,
"(1, 3, 2)",0,,
"(1, 3, 3)",0,,
"(1, 3, 4)",0,,
"(1, 3, 5)",0,,
"(1, 4, 1)",0,,
"(1, 4, 2)",0,,
"(1, 4, 3)",0,,
"(1, 4, 4)",0,,
"(1, 4, 5)",0,,
"(2, 5, 1)",0,,
"(2, 5, 2)",0,,
"(2, 5, 3)",0,,
"(2, 5, 4)",0,,
"(2, 5, 5)",0,,
"(2, 6, 1)",0,,
"(2, 6, 2)",0,,
"(2, 6, 3)",0,,
"(2, 6, 4)",0,,
"(2, 6, 5)",0,,
"(2, 7, 1)",0,,
"(2, 7, 2)",0,,
"(2, 7, 3)",0,,
"(2, 7, 4)",0,,
"(2, 7, 5)",0,,
"(2, 8, 1)",0,,
"(2, 8, 2)",0,,
"(2, 8, 3)",0,,
"(2, 8, 4)",0,,
"(2, 8, 5)",0,,
"(6, 9, 1)",0,,
"(6, 9, 2)",0,,
"(6, 9, 3)",0,,
"(6, 9, 4)",0,,
"(6, 9, 5)",0,,
"(6, 10, 1)",0,,
"(6, 10, 2)",0,,
"(6, 10, 3)",0,,
"(6, 10, 4)",0,,
"(6, 10, 5)",0,,
"(6, 11, 1)",0,,
"(6, 11, 2)",0,,
"(6, 11, 3)",0,,
"(6, 11, 4)",0,,
"(6, 11, 5)",0,,
"(7, 12, 1)",0,,
"(7, 12, 2)",0,,
"(7, 12, 3)",0,,
"(7, 12, 4)",0,,
"(7, 12, 5)",0,,
"(7, 13, 1)",0,,
"(7, 13, 2)",0,,
"(7, 13, 3)",0,,
"(7, 13, 4)",0,,
"(7, 13, 5)",0,,
"(4, 14, 1)",0,,
"(4, 14, 2)",0,,
"(4, 14, 3)",0,,
"(4, 14, 4)",0,,
"(4, 14, 5)",0,,
"(4, 15, 1)",0,,
"(4, 15, 2)",0,,
"(4, 15, 3)",0,,
"(4, 15, 4)",0,,
"(4, 15, 5)",0,,
"(4, 16, 1)",0,,
"(4, 16, 2)",0,,
"(4, 16, 3)",0,,
"(4, 16, 4)",0,,
"(4, 16, 5)",0,,
"(4, 17, 1)",0,,
"(4, 17, 2)",0,,
"(4, 17, 3)",0,,
"(4, 17, 4)",0,,
"(4, 17, 5)",0,,
"(5, 18, 1)",0,,
"(5, 18, 2)",0,,
"(5, 18, 3)",0,,
"(5, 18, 4)",0,,
"(5, 18, 5)",0,,
"(5, 19, 1)",0,,
"(5, 19, 2)",0,,
"(5, 19, 3)",0,,
"(5, 19, 4)",0,,
"(5, 19, 5)",0,,
"(5, 20, 1)",0,,
"(5, 20, 2)",0,,
"(5, 20, 3)",0,,
"(5, 20, 4)",0,,
"(5, 20, 5)",0,,
"(3, 21, 1)",0,,
"(3, 21, 2)",0,,
"(3, 21, 3)",0,,
"(3, 21, 4)",0,,
"(3, 21, 5)",0,,
"(3, 22, 1)",0,,
"(3, 22, 2)",0,,
"(3, 22, 3)",0,,
"(3, 22, 4)",0,,
"(3, 22, 5)",0,,
