,LotSize,,Objective fn value
"(1, 1, 1)",0,,72876
"(1, 1, 2)",266,,
"(1, 1, 3)",397,,
"(1, 1, 4)",429,,
"(1, 1, 5)",285,,
"(1, 2, 1)",0,,
"(1, 2, 2)",0,,
"(1, 2, 3)",0,,
"(1, 2, 4)",0,,
"(1, 2, 5)",0,,
"(1, 3, 1)",0,,
"(1, 3, 2)",252,,
"(1, 3, 3)",261,,
"(1, 3, 4)",261,,
"(1, 3, 5)",261,,
"(1, 4, 1)",0,,
"(1, 4, 2)",0,,
"(1, 4, 3)",0,,
"(1, 4, 4)",0,,
"(1, 4, 5)",0,,
"(2, 5, 1)",0,,
"(2, 5, 2)",0,,
"(2, 5, 3)",146,,
"(2, 5, 4)",167,,
"(2, 5, 5)",134,,
"(2, 6, 1)",0,,
"(2, 6, 2)",125,,
"(2, 6, 3)",151,,
"(2, 6, 4)",153,,
"(2, 6, 5)",130,,
"(2, 7, 1)",0,,
"(2, 7, 2)",0,,
"(2, 7, 3)",43,,
"(2, 7, 4)",135,,
"(2, 7, 5)",127,,
"(2, 8, 1)",0,,
"(2, 8, 2)",0,,
"(2, 8, 3)",1,,
"(2, 8, 4)",29,,
"(2, 8, 5)",29,,
"(6, 9, 1)",0,,
"(6, 9, 2)",149,,
"(6, 9, 3)",159,,
"(6, 9, 4)",157,,
"(6, 9, 5)",133,,
"(6, 10, 1)",104,,
"(6, 10, 2)",162,,
"(6, 10, 3)",151,,
"(6, 10, 4)",155,,
"(6, 10, 5)",135,,
"(6, 11, 1)",0,,
"(6, 11, 2)",39,,
"(6, 11, 3)",149,,
"(6, 11, 4)",147,,
"(6, 11, 5)",120,,
"(7, 12, 1)",0,,
"(7, 12, 2)",0,,
"(7, 12, 3)",80,,
"(7, 12, 4)",107,,
"(7, 12, 5)",94,,
"(7, 13, 1)",0,,
"(7, 13, 2)",0,,
"(7, 13, 3)",34,,
"(7, 13, 4)",52,,
"(7, 13, 5)",38,,
"(4, 14, 1)",0,,
"(4, 14, 2)",79,,
"(4, 14, 3)",167,,
"(4, 14, 4)",171,,
"(4, 14, 5)",147,,
"(4, 15, 1)",0,,
"(4, 15, 2)",153,,
"(4, 15, 3)",167,,
"(4, 15, 4)",170,,
"(4, 15, 5)",144,,
"(4, 16, 1)",39,,
"(4, 16, 2)",178,,
"(4, 16, 3)",152,,
"(4, 16, 4)",160,,
"(4, 16, 5)",142,,
"(4, 17, 1)",67,,
"(4, 17, 2)",170,,
"(4, 17, 3)",178,,
"(4, 17, 4)",163,,
"(4, 17, 5)",142,,
"(5, 18, 1)",0,,
"(5, 18, 2)",115,,
"(5, 18, 3)",165,,
"(5, 18, 4)",165,,
"(5, 18, 5)",133,,
"(5, 19, 1)",74,,
"(5, 19, 2)",158,,
"(5, 19, 3)",152,,
"(5, 19, 4)",159,,
"(5, 19, 5)",133,,
"(5, 20, 1)",0,,
"(5, 20, 2)",49,,
"(5, 20, 3)",153,,
"(5, 20, 4)",149,,
"(5, 20, 5)",123,,
"(3, 21, 1)",0,,
"(3, 21, 2)",165,,
"(3, 21, 3)",174,,
"(3, 21, 4)",199,,
"(3, 21, 5)",168,,
"(3, 22, 1)",78,,
"(3, 22, 2)",139,,
"(3, 22, 3)",134,,
"(3, 22, 4)",163,,
"(3, 22, 5)",133,,
