,LotSize,,Objective fn value
"(1, 1, 1)",0,,78584
"(1, 1, 2)",309,,
"(1, 1, 3)",481,,
"(1, 1, 4)",560,,
"(1, 1, 5)",298,,
"(1, 2, 1)",0,,
"(1, 2, 2)",0,,
"(1, 2, 3)",24,,
"(1, 2, 4)",60,,
"(1, 2, 5)",16,,
"(1, 3, 1)",0,,
"(1, 3, 2)",0,,
"(1, 3, 3)",269,,
"(1, 3, 4)",277,,
"(1, 3, 5)",277,,
"(1, 4, 1)",0,,
"(1, 4, 2)",0,,
"(1, 4, 3)",0,,
"(1, 4, 4)",0,,
"(1, 4, 5)",0,,
"(2, 5, 1)",0,,
"(2, 5, 2)",80,,
"(2, 5, 3)",116,,
"(2, 5, 4)",131,,
"(2, 5, 5)",76,,
"(2, 6, 1)",0,,
"(2, 6, 2)",0,,
"(2, 6, 3)",91,,
"(2, 6, 4)",139,,
"(2, 6, 5)",78,,
"(2, 7, 1)",0,,
"(2, 7, 2)",7,,
"(2, 7, 3)",117,,
"(2, 7, 4)",135,,
"(2, 7, 5)",127,,
"(2, 8, 1)",0,,
"(2, 8, 2)",0,,
"(2, 8, 3)",0,,
"(2, 8, 4)",26,,
"(2, 8, 5)",29,,
"(6, 9, 1)",53,,
"(6, 9, 2)",123,,
"(6, 9, 3)",120,,
"(6, 9, 4)",155,,
"(6, 9, 5)",81,,
"(6, 10, 1)",0,,
"(6, 10, 2)",1,,
"(6, 10, 3)",120,,
"(6, 10, 4)",130,,
"(6, 10, 5)",78,,
"(6, 11, 1)",0,,
"(6, 11, 2)",83,,
"(6, 11, 3)",107,,
"(6, 11, 4)",127,,
"(6, 11, 5)",68,,
"(7, 12, 1)",33,,
"(7, 12, 2)",116,,
"(7, 12, 3)",85,,
"(7, 12, 4)",99,,
"(7, 12, 5)",53,,
"(7, 13, 1)",0,,
"(7, 13, 2)",0,,
"(7, 13, 3)",0,,
"(7, 13, 4)",24,,
"(7, 13, 5)",24,,
"(4, 14, 1)",0,,
"(4, 14, 2)",97,,
"(4, 14, 3)",131,,
"(4, 14, 4)",133,,
"(4, 14, 5)",76,,
"(4, 15, 1)",0,,
"(4, 15, 2)",73,,
"(4, 15, 3)",75,,
"(4, 15, 4)",150,,
"(4, 15, 5)",81,,
"(4, 16, 1)",0,,
"(4, 16, 2)",0,,
"(4, 16, 3)",117,,
"(4, 16, 4)",142,,
"(4, 16, 5)",81,,
"(4, 17, 1)",6,,
"(4, 17, 2)",150,,
"(4, 17, 3)",127,,
"(4, 17, 4)",144,,
"(4, 17, 5)",86,,
"(5, 18, 1)",43,,
"(5, 18, 2)",132,,
"(5, 18, 3)",138,,
"(5, 18, 4)",152,,
"(5, 18, 5)",92,,
"(5, 19, 1)",0,,
"(5, 19, 2)",101,,
"(5, 19, 3)",143,,
"(5, 19, 4)",159,,
"(5, 19, 5)",84,,
"(5, 20, 1)",0,,
"(5, 20, 2)",58,,
"(5, 20, 3)",120,,
"(5, 20, 4)",159,,
"(5, 20, 5)",88,,
"(3, 21, 1)",0,,
"(3, 21, 2)",108,,
"(3, 21, 3)",124,,
"(3, 21, 4)",143,,
"(3, 21, 5)",79,,
"(3, 22, 1)",0,,
"(3, 22, 2)",25,,
"(3, 22, 3)",113,,
"(3, 22, 4)",135,,
"(3, 22, 5)",77,,
