,LotSize,,Objective fn value
"(1, 1, 1)",0,,69522
"(1, 1, 2)",246,,
"(1, 1, 3)",284,,
"(1, 1, 4)",336,,
"(1, 1, 5)",176,,
"(1, 2, 1)",0,,
"(1, 2, 2)",0,,
"(1, 2, 3)",0,,
"(1, 2, 4)",0,,
"(1, 2, 5)",0,,
"(1, 3, 1)",0,,
"(1, 3, 2)",0,,
"(1, 3, 3)",120,,
"(1, 3, 4)",215,,
"(1, 3, 5)",215,,
"(1, 4, 1)",0,,
"(1, 4, 2)",0,,
"(1, 4, 3)",0,,
"(1, 4, 4)",0,,
"(1, 4, 5)",0,,
"(2, 5, 1)",0,,
"(2, 5, 2)",60,,
"(2, 5, 3)",129,,
"(2, 5, 4)",130,,
"(2, 5, 5)",78,,
"(2, 6, 1)",0,,
"(2, 6, 2)",53,,
"(2, 6, 3)",148,,
"(2, 6, 4)",136,,
"(2, 6, 5)",78,,
"(2, 7, 1)",0,,
"(2, 7, 2)",39,,
"(2, 7, 3)",98,,
"(2, 7, 4)",93,,
"(2, 7, 5)",51,,
"(2, 8, 1)",0,,
"(2, 8, 2)",55,,
"(2, 8, 3)",33,,
"(2, 8, 4)",35,,
"(2, 8, 5)",23,,
"(6, 9, 1)",42,,
"(6, 9, 2)",159,,
"(6, 9, 3)",155,,
"(6, 9, 4)",150,,
"(6, 9, 5)",74,,
"(6, 10, 1)",0,,
"(6, 10, 2)",66,,
"(6, 10, 3)",129,,
"(6, 10, 4)",123,,
"(6, 10, 5)",72,,
"(6, 11, 1)",0,,
"(6, 11, 2)",125,,
"(6, 11, 3)",138,,
"(6, 11, 4)",116,,
"(6, 11, 5)",69,,
"(7, 12, 1)",0,,
"(7, 12, 2)",63,,
"(7, 12, 3)",90,,
"(7, 12, 4)",88,,
"(7, 12, 5)",50,,
"(7, 13, 1)",0,,
"(7, 13, 2)",16,,
"(7, 13, 3)",34,,
"(7, 13, 4)",35,,
"(7, 13, 5)",23,,
"(4, 14, 1)",68,,
"(4, 14, 2)",167,,
"(4, 14, 3)",131,,
"(4, 14, 4)",132,,
"(4, 14, 5)",75,,
"(4, 15, 1)",41,,
"(4, 15, 2)",164,,
"(4, 15, 3)",138,,
"(4, 15, 4)",126,,
"(4, 15, 5)",72,,
"(4, 16, 1)",0,,
"(4, 16, 2)",157,,
"(4, 16, 3)",138,,
"(4, 16, 4)",132,,
"(4, 16, 5)",78,,
"(4, 17, 1)",0,,
"(4, 17, 2)",98,,
"(4, 17, 3)",144,,
"(4, 17, 4)",130,,
"(4, 17, 5)",78,,
"(5, 18, 1)",0,,
"(5, 18, 2)",134,,
"(5, 18, 3)",138,,
"(5, 18, 4)",127,,
"(5, 18, 5)",72,,
"(5, 19, 1)",0,,
"(5, 19, 2)",65,,
"(5, 19, 3)",137,,
"(5, 19, 4)",127,,
"(5, 19, 5)",70,,
"(5, 20, 1)",0,,
"(5, 20, 2)",0,,
"(5, 20, 3)",83,,
"(5, 20, 4)",125,,
"(5, 20, 5)",72,,
"(3, 21, 1)",70,,
"(3, 21, 2)",167,,
"(3, 21, 3)",130,,
"(3, 21, 4)",125,,
"(3, 21, 5)",72,,
"(3, 22, 1)",0,,
"(3, 22, 2)",115,,
"(3, 22, 3)",122,,
"(3, 22, 4)",128,,
"(3, 22, 5)",68,,
