,LotSize,,Objective fn value
"(1, 1, 1)",0,,115016
"(1, 1, 2)",0,,
"(1, 1, 3)",0,,
"(1, 1, 4)",126,,
"(1, 1, 5)",0,,
"(1, 2, 1)",0,,
"(1, 2, 2)",0,,
"(1, 2, 3)",0,,
"(1, 2, 4)",0,,
"(1, 2, 5)",0,,
"(1, 3, 1)",0,,
"(1, 3, 2)",0,,
"(1, 3, 3)",0,,
"(1, 3, 4)",0,,
"(1, 3, 5)",0,,
"(1, 4, 1)",0,,
"(1, 4, 2)",0,,
"(1, 4, 3)",0,,
"(1, 4, 4)",0,,
"(1, 4, 5)",0,,
"(2, 5, 1)",0,,
"(2, 5, 2)",125,,
"(2, 5, 3)",119,,
"(2, 5, 4)",100,,
"(2, 5, 5)",0,,
"(2, 6, 1)",0,,
"(2, 6, 2)",112,,
"(2, 6, 3)",112,,
"(2, 6, 4)",91,,
"(2, 6, 5)",0,,
"(2, 7, 1)",0,,
"(2, 7, 2)",5,,
"(2, 7, 3)",86,,
"(2, 7, 4)",64,,
"(2, 7, 5)",0,,
"(2, 8, 1)",0,,
"(2, 8, 2)",0,,
"(2, 8, 3)",13,,
"(2, 8, 4)",24,,
"(2, 8, 5)",0,,
"(6, 9, 1)",0,,
"(6, 9, 2)",55,,
"(6, 9, 3)",103,,
"(6, 9, 4)",88,,
"(6, 9, 5)",0,,
"(6, 10, 1)",52,,
"(6, 10, 2)",144,,
"(6, 10, 3)",110,,
"(6, 10, 4)",88,,
"(6, 10, 5)",0,,
"(6, 11, 1)",0,,
"(6, 11, 2)",148,,
"(6, 11, 3)",109,,
"(6, 11, 4)",90,,
"(6, 11, 5)",0,,
"(7, 12, 1)",0,,
"(7, 12, 2)",87,,
"(7, 12, 3)",83,,
"(7, 12, 4)",64,,
"(7, 12, 5)",0,,
"(7, 13, 1)",0,,
"(7, 13, 2)",0,,
"(7, 13, 3)",0,,
"(7, 13, 4)",6,,
"(7, 13, 5)",0,,
"(4, 14, 1)",0,,
"(4, 14, 2)",25,,
"(4, 14, 3)",124,,
"(4, 14, 4)",91,,
"(4, 14, 5)",0,,
"(4, 15, 1)",0,,
"(4, 15, 2)",117,,
"(4, 15, 3)",122,,
"(4, 15, 4)",98,,
"(4, 15, 5)",0,,
"(4, 16, 1)",0,,
"(4, 16, 2)",151,,
"(4, 16, 3)",116,,
"(4, 16, 4)",88,,
"(4, 16, 5)",0,,
"(4, 17, 1)",20,,
"(4, 17, 2)",157,,
"(4, 17, 3)",117,,
"(4, 17, 4)",88,,
"(4, 17, 5)",0,,
"(5, 18, 1)",0,,
"(5, 18, 2)",148,,
"(5, 18, 3)",104,,
"(5, 18, 4)",82,,
"(5, 18, 5)",0,,
"(5, 19, 1)",0,,
"(5, 19, 2)",13,,
"(5, 19, 3)",113,,
"(5, 19, 4)",82,,
"(5, 19, 5)",0,,
"(5, 20, 1)",0,,
"(5, 20, 2)",87,,
"(5, 20, 3)",103,,
"(5, 20, 4)",82,,
"(5, 20, 5)",0,,
"(3, 21, 1)",18,,
"(3, 21, 2)",148,,
"(3, 21, 3)",106,,
"(3, 21, 4)",92,,
"(3, 21, 5)",0,,
"(3, 22, 1)",0,,
"(3, 22, 2)",47,,
"(3, 22, 3)",113,,
"(3, 22, 4)",89,,
"(3, 22, 5)",0,,
