,LotSize,,Objective fn value
"(1, 1, 1)",0,,69083
"(1, 1, 2)",432,,
"(1, 1, 3)",432,,
"(1, 1, 4)",383,,
"(1, 1, 5)",354,,
"(1, 2, 1)",0,,
"(1, 2, 2)",0,,
"(1, 2, 3)",0,,
"(1, 2, 4)",30,,
"(1, 2, 5)",44,,
"(1, 3, 1)",0,,
"(1, 3, 2)",74,,
"(1, 3, 3)",251,,
"(1, 3, 4)",251,,
"(1, 3, 5)",251,,
"(1, 4, 1)",0,,
"(1, 4, 2)",0,,
"(1, 4, 3)",0,,
"(1, 4, 4)",0,,
"(1, 4, 5)",0,,
"(2, 5, 1)",0,,
"(2, 5, 2)",144,,
"(2, 5, 3)",159,,
"(2, 5, 4)",126,,
"(2, 5, 5)",132,,
"(2, 6, 1)",0,,
"(2, 6, 2)",55,,
"(2, 6, 3)",152,,
"(2, 6, 4)",126,,
"(2, 6, 5)",135,,
"(2, 7, 1)",0,,
"(2, 7, 2)",60,,
"(2, 7, 3)",111,,
"(2, 7, 4)",112,,
"(2, 7, 5)",108,,
"(2, 8, 1)",0,,
"(2, 8, 2)",0,,
"(2, 8, 3)",39,,
"(2, 8, 4)",32,,
"(2, 8, 5)",38,,
"(6, 9, 1)",7,,
"(6, 9, 2)",159,,
"(6, 9, 3)",155,,
"(6, 9, 4)",129,,
"(6, 9, 5)",135,,
"(6, 10, 1)",0,,
"(6, 10, 2)",64,,
"(6, 10, 3)",163,,
"(6, 10, 4)",140,,
"(6, 10, 5)",137,,
"(6, 11, 1)",0,,
"(6, 11, 2)",128,,
"(6, 11, 3)",151,,
"(6, 11, 4)",132,,
"(6, 11, 5)",144,,
"(7, 12, 1)",0,,
"(7, 12, 2)",113,,
"(7, 12, 3)",109,,
"(7, 12, 4)",91,,
"(7, 12, 5)",91,,
"(7, 13, 1)",0,,
"(7, 13, 2)",12,,
"(7, 13, 3)",42,,
"(7, 13, 4)",30,,
"(7, 13, 5)",40,,
"(4, 14, 1)",4,,
"(4, 14, 2)",186,,
"(4, 14, 3)",180,,
"(4, 14, 4)",155,,
"(4, 14, 5)",162,,
"(4, 15, 1)",35,,
"(4, 15, 2)",177,,
"(4, 15, 3)",167,,
"(4, 15, 4)",135,,
"(4, 15, 5)",142,,
"(4, 16, 1)",0,,
"(4, 16, 2)",93,,
"(4, 16, 3)",169,,
"(4, 16, 4)",134,,
"(4, 16, 5)",148,,
"(4, 17, 1)",0,,
"(4, 17, 2)",9,,
"(4, 17, 3)",164,,
"(4, 17, 4)",146,,
"(4, 17, 5)",146,,
"(5, 18, 1)",13,,
"(5, 18, 2)",163,,
"(5, 18, 3)",155,,
"(5, 18, 4)",139,,
"(5, 18, 5)",135,,
"(5, 19, 1)",0,,
"(5, 19, 2)",95,,
"(5, 19, 3)",150,,
"(5, 19, 4)",128,,
"(5, 19, 5)",134,,
"(5, 20, 1)",0,,
"(5, 20, 2)",25,,
"(5, 20, 3)",140,,
"(5, 20, 4)",125,,
"(5, 20, 5)",128,,
"(3, 21, 1)",80,,
"(3, 21, 2)",181,,
"(3, 21, 3)",160,,
"(3, 21, 4)",139,,
"(3, 21, 5)",174,,
"(3, 22, 1)",0,,
"(3, 22, 2)",68,,
"(3, 22, 3)",137,,
"(3, 22, 4)",159,,
"(3, 22, 5)",140,,
