,LotSize
"(1, 1, 1)",418.0
"(1, 1, 2)",429.0
"(1, 1, 3)",412.0
"(1, 1, 4)",376.0
"(1, 1, 5)",385.0
"(1, 2, 1)",0.0
"(1, 2, 2)",44.0
"(1, 2, 3)",35.0
"(1, 2, 4)",35.0
"(1, 2, 5)",31.0
"(1, 3, 1)",111.0
"(1, 3, 2)",261.0
"(1, 3, 3)",261.0
"(1, 3, 4)",261.0
"(1, 3, 5)",261.0
"(1, 4, 1)",0.0
"(1, 4, 2)",0.0
"(1, 4, 3)",3.0
"(1, 4, 4)",25.0
"(1, 4, 5)",25.0
"(2, 5, 1)",91.0
"(2, 5, 2)",163.0
"(2, 5, 3)",163.0
"(2, 5, 4)",145.0
"(2, 5, 5)",162.0
"(2, 6, 1)",96.0
"(2, 6, 2)",166.0
"(2, 6, 3)",166.0
"(2, 6, 4)",151.0
"(2, 6, 5)",159.0
"(2, 7, 1)",64.0
"(2, 7, 2)",127.0
"(2, 7, 3)",117.0
"(2, 7, 4)",107.0
"(2, 7, 5)",137.0
"(2, 8, 1)",8.0
"(2, 8, 2)",29.0
"(2, 8, 3)",24.0
"(2, 8, 4)",49.0
"(2, 8, 5)",29.0
"(6, 9, 1)",95.0
"(6, 9, 2)",165.0
"(6, 9, 3)",165.0
"(6, 9, 4)",155.0
"(6, 9, 5)",164.0
"(6, 10, 1)",92.0
"(6, 10, 2)",162.0
"(6, 10, 3)",162.0
"(6, 10, 4)",146.0
"(6, 10, 5)",158.0
"(6, 11, 1)",82.0
"(6, 11, 2)",166.0
"(6, 11, 3)",166.0
"(6, 11, 4)",139.0
"(6, 11, 5)",158.0
"(7, 12, 1)",24.0
"(7, 12, 2)",114.0
"(7, 12, 3)",114.0
"(7, 12, 4)",102.0
"(7, 12, 5)",113.0
"(7, 13, 1)",7.0
"(7, 13, 2)",47.0
"(7, 13, 3)",47.0
"(7, 13, 4)",45.0
"(7, 13, 5)",45.0
"(4, 14, 1)",98.0
"(4, 14, 2)",170.0
"(4, 14, 3)",170.0
"(4, 14, 4)",164.0
"(4, 14, 5)",168.0
"(4, 15, 1)",100.0
"(4, 15, 2)",172.0
"(4, 15, 3)",172.0
"(4, 15, 4)",154.0
"(4, 15, 5)",165.0
"(4, 16, 1)",87.0
"(4, 16, 2)",171.0
"(4, 16, 3)",171.0
"(4, 16, 4)",150.0
"(4, 16, 5)",160.0
"(4, 17, 1)",91.0
"(4, 17, 2)",175.0
"(4, 17, 3)",175.0
"(4, 17, 4)",160.0
"(4, 17, 5)",165.0
"(5, 18, 1)",104.0
"(5, 18, 2)",176.0
"(5, 18, 3)",176.0
"(5, 18, 4)",174.0
"(5, 18, 5)",173.0
"(5, 19, 1)",92.0
"(5, 19, 2)",164.0
"(5, 19, 3)",164.0
"(5, 19, 4)",144.0
"(5, 19, 5)",152.0
"(5, 20, 1)",89.0
"(5, 20, 2)",173.0
"(5, 20, 3)",173.0
"(5, 20, 4)",139.0
"(5, 20, 5)",149.0
"(3, 21, 1)",98.0
"(3, 21, 2)",168.0
"(3, 21, 3)",168.0
"(3, 21, 4)",177.0
"(3, 21, 5)",184.0
"(3, 22, 1)",91.0
"(3, 22, 2)",163.0
"(3, 22, 3)",163.0
"(3, 22, 4)",174.0
"(3, 22, 5)",162.0
