,LotSize
"(1, 1, 1)",331.0
"(1, 1, 2)",324.0
"(1, 1, 3)",284.0
"(1, 1, 4)",336.0
"(1, 1, 5)",176.0
"(1, 2, 1)",0.0
"(1, 2, 2)",10.0
"(1, 2, 3)",30.0
"(1, 2, 4)",52.0
"(1, 2, 5)",16.0
"(1, 3, 1)",62.0
"(1, 3, 2)",192.0
"(1, 3, 3)",215.0
"(1, 3, 4)",215.0
"(1, 3, 5)",215.0
"(1, 4, 1)",0.0
"(1, 4, 2)",0.0
"(1, 4, 3)",0.0
"(1, 4, 4)",20.0
"(1, 4, 5)",23.0
"(2, 5, 1)",86.0
"(2, 5, 2)",152.0
"(2, 5, 3)",129.0
"(2, 5, 4)",130.0
"(2, 5, 5)",78.0
"(2, 6, 1)",89.0
"(2, 6, 2)",172.0
"(2, 6, 3)",148.0
"(2, 6, 4)",136.0
"(2, 6, 5)",78.0
"(2, 7, 1)",62.0
"(2, 7, 2)",109.0
"(2, 7, 3)",98.0
"(2, 7, 4)",93.0
"(2, 7, 5)",51.0
"(2, 8, 1)",16.0
"(2, 8, 2)",59.0
"(2, 8, 3)",33.0
"(2, 8, 4)",35.0
"(2, 8, 5)",23.0
"(6, 9, 1)",84.0
"(6, 9, 2)",159.0
"(6, 9, 3)",155.0
"(6, 9, 4)",150.0
"(6, 9, 5)",74.0
"(6, 10, 1)",93.0
"(6, 10, 2)",156.0
"(6, 10, 3)",129.0
"(6, 10, 4)",123.0
"(6, 10, 5)",72.0
"(6, 11, 1)",75.0
"(6, 11, 2)",157.0
"(6, 11, 3)",138.0
"(6, 11, 4)",116.0
"(6, 11, 5)",69.0
"(7, 12, 1)",34.0
"(7, 12, 2)",96.0
"(7, 12, 3)",90.0
"(7, 12, 4)",88.0
"(7, 12, 5)",50.0
"(7, 13, 1)",0.0
"(7, 13, 2)",54.0
"(7, 13, 3)",34.0
"(7, 13, 4)",35.0
"(7, 13, 5)",23.0
"(4, 14, 1)",104.0
"(4, 14, 2)",167.0
"(4, 14, 3)",131.0
"(4, 14, 4)",132.0
"(4, 14, 5)",75.0
"(4, 15, 1)",87.0
"(4, 15, 2)",164.0
"(4, 15, 3)",138.0
"(4, 15, 4)",126.0
"(4, 15, 5)",72.0
"(4, 16, 1)",87.0
"(4, 16, 2)",166.0
"(4, 16, 3)",138.0
"(4, 16, 4)",132.0
"(4, 16, 5)",78.0
"(4, 17, 1)",85.0
"(4, 17, 2)",167.0
"(4, 17, 3)",144.0
"(4, 17, 4)",130.0
"(4, 17, 5)",78.0
"(5, 18, 1)",62.0
"(5, 18, 2)",156.0
"(5, 18, 3)",138.0
"(5, 18, 4)",127.0
"(5, 18, 5)",72.0
"(5, 19, 1)",63.0
"(5, 19, 2)",156.0
"(5, 19, 3)",137.0
"(5, 19, 4)",127.0
"(5, 19, 5)",70.0
"(5, 20, 1)",45.0
"(5, 20, 2)",152.0
"(5, 20, 3)",129.0
"(5, 20, 4)",125.0
"(5, 20, 5)",72.0
"(3, 21, 1)",92.0
"(3, 21, 2)",167.0
"(3, 21, 3)",130.0
"(3, 21, 4)",125.0
"(3, 21, 5)",72.0
"(3, 22, 1)",89.0
"(3, 22, 2)",165.0
"(3, 22, 3)",122.0
"(3, 22, 4)",128.0
"(3, 22, 5)",68.0
