,LotSize
"(1, 1, 1)",314.0
"(1, 1, 2)",360.0
"(1, 1, 3)",368.0
"(1, 1, 4)",364.0
"(1, 1, 5)",376.0
"(1, 2, 1)",0.0
"(1, 2, 2)",16.0
"(1, 2, 3)",45.0
"(1, 2, 4)",47.0
"(1, 2, 5)",49.0
"(1, 3, 1)",40.0
"(1, 3, 2)",199.0
"(1, 3, 3)",193.0
"(1, 3, 4)",214.0
"(1, 3, 5)",190.0
"(1, 4, 1)",0.0
"(1, 4, 2)",0.0
"(1, 4, 3)",0.0
"(1, 4, 4)",8.0
"(1, 4, 5)",20.0
"(2, 5, 1)",113.0
"(2, 5, 2)",145.0
"(2, 5, 3)",147.0
"(2, 5, 4)",157.0
"(2, 5, 5)",136.0
"(2, 6, 1)",99.0
"(2, 6, 2)",149.0
"(2, 6, 3)",143.0
"(2, 6, 4)",143.0
"(2, 6, 5)",130.0
"(2, 7, 1)",70.0
"(2, 7, 2)",109.0
"(2, 7, 3)",95.0
"(2, 7, 4)",114.0
"(2, 7, 5)",95.0
"(2, 8, 1)",15.0
"(2, 8, 2)",40.0
"(2, 8, 3)",42.0
"(2, 8, 4)",36.0
"(2, 8, 5)",38.0
"(6, 9, 1)",115.0
"(6, 9, 2)",158.0
"(6, 9, 3)",139.0
"(6, 9, 4)",140.0
"(6, 9, 5)",129.0
"(6, 10, 1)",94.0
"(6, 10, 2)",149.0
"(6, 10, 3)",139.0
"(6, 10, 4)",143.0
"(6, 10, 5)",135.0
"(6, 11, 1)",93.0
"(6, 11, 2)",142.0
"(6, 11, 3)",130.0
"(6, 11, 4)",134.0
"(6, 11, 5)",134.0
"(7, 12, 1)",40.0
"(7, 12, 2)",106.0
"(7, 12, 3)",92.0
"(7, 12, 4)",104.0
"(7, 12, 5)",93.0
"(7, 13, 1)",0.0
"(7, 13, 2)",38.0
"(7, 13, 3)",42.0
"(7, 13, 4)",34.0
"(7, 13, 5)",36.0
"(4, 14, 1)",111.0
"(4, 14, 2)",155.0
"(4, 14, 3)",146.0
"(4, 14, 4)",151.0
"(4, 14, 5)",141.0
"(4, 15, 1)",104.0
"(4, 15, 2)",161.0
"(4, 15, 3)",152.0
"(4, 15, 4)",156.0
"(4, 15, 5)",136.0
"(4, 16, 1)",87.0
"(4, 16, 2)",145.0
"(4, 16, 3)",149.0
"(4, 16, 4)",151.0
"(4, 16, 5)",131.0
"(4, 17, 1)",93.0
"(4, 17, 2)",161.0
"(4, 17, 3)",148.0
"(4, 17, 4)",146.0
"(4, 17, 5)",149.0
"(5, 18, 1)",95.0
"(5, 18, 2)",149.0
"(5, 18, 3)",137.0
"(5, 18, 4)",175.0
"(5, 18, 5)",132.0
"(5, 19, 1)",95.0
"(5, 19, 2)",149.0
"(5, 19, 3)",137.0
"(5, 19, 4)",166.0
"(5, 19, 5)",133.0
"(5, 20, 1)",83.0
"(5, 20, 2)",182.0
"(5, 20, 3)",185.0
"(5, 20, 4)",175.0
"(5, 20, 5)",134.0
"(3, 21, 1)",102.0
"(3, 21, 2)",157.0
"(3, 21, 3)",153.0
"(3, 21, 4)",160.0
"(3, 21, 5)",133.0
"(3, 22, 1)",120.0
"(3, 22, 2)",161.0
"(3, 22, 3)",151.0
"(3, 22, 4)",160.0
"(3, 22, 5)",146.0
