,LotSize
"(1, 1, 1)",238.0
"(1, 1, 2)",188.0
"(1, 1, 3)",99.0
"(1, 1, 4)",148.0
"(1, 1, 5)",0.0
"(1, 2, 1)",0.0
"(1, 2, 2)",0.0
"(1, 2, 3)",10.0
"(1, 2, 4)",24.0
"(1, 2, 5)",0.0
"(1, 3, 1)",0.0
"(1, 3, 2)",0.0
"(1, 3, 3)",0.0
"(1, 3, 4)",0.0
"(1, 3, 5)",0.0
"(1, 4, 1)",0.0
"(1, 4, 2)",0.0
"(1, 4, 3)",0.0
"(1, 4, 4)",0.0
"(1, 4, 5)",0.0
"(2, 5, 1)",76.0
"(2, 5, 2)",153.0
"(2, 5, 3)",119.0
"(2, 5, 4)",100.0
"(2, 5, 5)",0.0
"(2, 6, 1)",69.0
"(2, 6, 2)",149.0
"(2, 6, 3)",112.0
"(2, 6, 4)",91.0
"(2, 6, 5)",0.0
"(2, 7, 1)",42.0
"(2, 7, 2)",104.0
"(2, 7, 3)",86.0
"(2, 7, 4)",64.0
"(2, 7, 5)",0.0
"(2, 8, 1)",14.0
"(2, 8, 2)",38.0
"(2, 8, 3)",24.0
"(2, 8, 4)",24.0
"(2, 8, 5)",0.0
"(6, 9, 1)",71.0
"(6, 9, 2)",139.0
"(6, 9, 3)",103.0
"(6, 9, 4)",88.0
"(6, 9, 5)",0.0
"(6, 10, 1)",71.0
"(6, 10, 2)",144.0
"(6, 10, 3)",110.0
"(6, 10, 4)",88.0
"(6, 10, 5)",0.0
"(6, 11, 1)",57.0
"(6, 11, 2)",151.0
"(6, 11, 3)",109.0
"(6, 11, 4)",90.0
"(6, 11, 5)",0.0
"(7, 12, 1)",13.0
"(7, 12, 2)",99.0
"(7, 12, 3)",83.0
"(7, 12, 4)",64.0
"(7, 12, 5)",0.0
"(7, 13, 1)",0.0
"(7, 13, 2)",40.0
"(7, 13, 3)",24.0
"(7, 13, 4)",32.0
"(7, 13, 5)",0.0
"(4, 14, 1)",77.0
"(4, 14, 2)",153.0
"(4, 14, 3)",124.0
"(4, 14, 4)",91.0
"(4, 14, 5)",0.0
"(4, 15, 1)",78.0
"(4, 15, 2)",159.0
"(4, 15, 3)",122.0
"(4, 15, 4)",98.0
"(4, 15, 5)",0.0
"(4, 16, 1)",72.0
"(4, 16, 2)",155.0
"(4, 16, 3)",116.0
"(4, 16, 4)",88.0
"(4, 16, 5)",0.0
"(4, 17, 1)",68.0
"(4, 17, 2)",157.0
"(4, 17, 3)",117.0
"(4, 17, 4)",88.0
"(4, 17, 5)",0.0
"(5, 18, 1)",69.0
"(5, 18, 2)",150.0
"(5, 18, 3)",104.0
"(5, 18, 4)",82.0
"(5, 18, 5)",0.0
"(5, 19, 1)",70.0
"(5, 19, 2)",162.0
"(5, 19, 3)",113.0
"(5, 19, 4)",82.0
"(5, 19, 5)",0.0
"(5, 20, 1)",64.0
"(5, 20, 2)",141.0
"(5, 20, 3)",103.0
"(5, 20, 4)",82.0
"(5, 20, 5)",0.0
"(3, 21, 1)",63.0
"(3, 21, 2)",148.0
"(3, 21, 3)",106.0
"(3, 21, 4)",92.0
"(3, 21, 5)",0.0
"(3, 22, 1)",73.0
"(3, 22, 2)",152.0
"(3, 22, 3)",113.0
"(3, 22, 4)",89.0
"(3, 22, 5)",0.0
