,LotSize
"(1, 1, 1)",0.0
"(1, 1, 2)",309.0
"(1, 1, 3)",481.0
"(1, 1, 4)",560.0
"(1, 1, 5)",298.0
"(1, 2, 1)",0.0
"(1, 2, 2)",0.0
"(1, 2, 3)",24.0
"(1, 2, 4)",60.0
"(1, 2, 5)",16.0
"(1, 3, 1)",0.0
"(1, 3, 2)",0.0
"(1, 3, 3)",269.0
"(1, 3, 4)",277.0
"(1, 3, 5)",277.0
"(1, 4, 1)",0.0
"(1, 4, 2)",0.0
"(1, 4, 3)",0.0
"(1, 4, 4)",0.0
"(1, 4, 5)",0.0
"(2, 5, 1)",0.0
"(2, 5, 2)",80.0
"(2, 5, 3)",116.0
"(2, 5, 4)",131.0
"(2, 5, 5)",76.0
"(2, 6, 1)",0.0
"(2, 6, 2)",0.0
"(2, 6, 3)",91.0
"(2, 6, 4)",139.0
"(2, 6, 5)",78.0
"(2, 7, 1)",0.0
"(2, 7, 2)",7.0
"(2, 7, 3)",117.0
"(2, 7, 4)",135.0
"(2, 7, 5)",127.0
"(2, 8, 1)",0.0
"(2, 8, 2)",0.0
"(2, 8, 3)",0.0
"(2, 8, 4)",26.0
"(2, 8, 5)",29.0
"(6, 9, 1)",53.0
"(6, 9, 2)",123.0
"(6, 9, 3)",120.0
"(6, 9, 4)",155.0
"(6, 9, 5)",81.0
"(6, 10, 1)",0.0
"(6, 10, 2)",1.0
"(6, 10, 3)",120.0
"(6, 10, 4)",130.0
"(6, 10, 5)",78.0
"(6, 11, 1)",0.0
"(6, 11, 2)",83.0
"(6, 11, 3)",107.0
"(6, 11, 4)",127.0
"(6, 11, 5)",68.0
"(7, 12, 1)",33.0
"(7, 12, 2)",116.0
"(7, 12, 3)",85.0
"(7, 12, 4)",99.0
"(7, 12, 5)",53.0
"(7, 13, 1)",0.0
"(7, 13, 2)",0.0
"(7, 13, 3)",0.0
"(7, 13, 4)",24.0
"(7, 13, 5)",24.0
"(4, 14, 1)",0.0
"(4, 14, 2)",97.0
"(4, 14, 3)",131.0
"(4, 14, 4)",133.0
"(4, 14, 5)",76.0
"(4, 15, 1)",0.0
"(4, 15, 2)",73.0
"(4, 15, 3)",75.0
"(4, 15, 4)",150.0
"(4, 15, 5)",81.0
"(4, 16, 1)",0.0
"(4, 16, 2)",0.0
"(4, 16, 3)",117.0
"(4, 16, 4)",142.0
"(4, 16, 5)",81.0
"(4, 17, 1)",6.0
"(4, 17, 2)",150.0
"(4, 17, 3)",127.0
"(4, 17, 4)",144.0
"(4, 17, 5)",86.0
"(5, 18, 1)",43.0
"(5, 18, 2)",132.0
"(5, 18, 3)",138.0
"(5, 18, 4)",152.0
"(5, 18, 5)",92.0
"(5, 19, 1)",0.0
"(5, 19, 2)",101.0
"(5, 19, 3)",143.0
"(5, 19, 4)",159.0
"(5, 19, 5)",84.0
"(5, 20, 1)",0.0
"(5, 20, 2)",58.0
"(5, 20, 3)",120.0
"(5, 20, 4)",159.0
"(5, 20, 5)",88.0
"(3, 21, 1)",0.0
"(3, 21, 2)",108.0
"(3, 21, 3)",124.0
"(3, 21, 4)",143.0
"(3, 21, 5)",79.0
"(3, 22, 1)",0.0
"(3, 22, 2)",25.0
"(3, 22, 3)",113.0
"(3, 22, 4)",135.0
"(3, 22, 5)",77.0
