,LotSize
"(1, 1, 1)",397.0
"(1, 1, 2)",535.0
"(1, 1, 3)",499.0
"(1, 1, 4)",481.0
"(1, 1, 5)",465.0
"(1, 2, 1)",28.0
"(1, 2, 2)",48.0
"(1, 2, 3)",62.0
"(1, 2, 4)",67.0
"(1, 2, 5)",67.0
"(1, 3, 1)",72.0
"(1, 3, 2)",270.0
"(1, 3, 3)",261.0
"(1, 3, 4)",261.0
"(1, 3, 5)",261.0
"(1, 4, 1)",0.0
"(1, 4, 2)",0.0
"(1, 4, 3)",3.0
"(1, 4, 4)",25.0
"(1, 4, 5)",25.0
"(2, 5, 1)",75.0
"(2, 5, 2)",168.0
"(2, 5, 3)",151.0
"(2, 5, 4)",170.0
"(2, 5, 5)",165.0
"(2, 6, 1)",79.0
"(2, 6, 2)",148.0
"(2, 6, 3)",149.0
"(2, 6, 4)",173.0
"(2, 6, 5)",169.0
"(2, 7, 1)",37.0
"(2, 7, 2)",129.0
"(2, 7, 3)",117.0
"(2, 7, 4)",135.0
"(2, 7, 5)",127.0
"(2, 8, 1)",18.0
"(2, 8, 2)",31.0
"(2, 8, 3)",24.0
"(2, 8, 4)",29.0
"(2, 8, 5)",29.0
"(6, 9, 1)",79.0
"(6, 9, 2)",160.0
"(6, 9, 3)",148.0
"(6, 9, 4)",170.0
"(6, 9, 5)",166.0
"(6, 10, 1)",69.0
"(6, 10, 2)",157.0
"(6, 10, 3)",150.0
"(6, 10, 4)",168.0
"(6, 10, 5)",164.0
"(6, 11, 1)",66.0
"(6, 11, 2)",154.0
"(6, 11, 3)",140.0
"(6, 11, 4)",174.0
"(6, 11, 5)",168.0
"(7, 12, 1)",8.0
"(7, 12, 2)",113.0
"(7, 12, 3)",103.0
"(7, 12, 4)",117.0
"(7, 12, 5)",115.0
"(7, 13, 1)",0.0
"(7, 13, 2)",50.0
"(7, 13, 3)",43.0
"(7, 13, 4)",51.0
"(7, 13, 5)",48.0
"(4, 14, 1)",80.0
"(4, 14, 2)",161.0
"(4, 14, 3)",161.0
"(4, 14, 4)",177.0
"(4, 14, 5)",172.0
"(4, 15, 1)",82.0
"(4, 15, 2)",168.0
"(4, 15, 3)",175.0
"(4, 15, 4)",179.0
"(4, 15, 5)",174.0
"(4, 16, 1)",66.0
"(4, 16, 2)",155.0
"(4, 16, 3)",153.0
"(4, 16, 4)",177.0
"(4, 16, 5)",173.0
"(4, 17, 1)",69.0
"(4, 17, 2)",171.0
"(4, 17, 3)",169.0
"(4, 17, 4)",181.0
"(4, 17, 5)",177.0
"(5, 18, 1)",86.0
"(5, 18, 2)",178.0
"(5, 18, 3)",166.0
"(5, 18, 4)",182.0
"(5, 18, 5)",176.0
"(5, 19, 1)",94.0
"(5, 19, 2)",180.0
"(5, 19, 3)",167.0
"(5, 19, 4)",173.0
"(5, 19, 5)",167.0
"(5, 20, 1)",93.0
"(5, 20, 2)",190.0
"(5, 20, 3)",173.0
"(5, 20, 4)",182.0
"(5, 20, 5)",176.0
"(3, 21, 1)",87.0
"(3, 21, 2)",175.0
"(3, 21, 3)",169.0
"(3, 21, 4)",172.0
"(3, 21, 5)",169.0
"(3, 22, 1)",68.0
"(3, 22, 2)",160.0
"(3, 22, 3)",163.0
"(3, 22, 4)",172.0
"(3, 22, 5)",166.0
