,LotSize
"(1, 1, 1)",256.0
"(1, 1, 2)",430.0
"(1, 1, 3)",390.0
"(1, 1, 4)",473.0
"(1, 1, 5)",374.0
"(1, 2, 1)",0.0
"(1, 2, 2)",24.0
"(1, 2, 3)",52.0
"(1, 2, 4)",41.0
"(1, 2, 5)",29.0
"(1, 3, 1)",53.0
"(1, 3, 2)",191.0
"(1, 3, 3)",197.0
"(1, 3, 4)",221.0
"(1, 3, 5)",182.0
"(1, 4, 1)",0.0
"(1, 4, 2)",0.0
"(1, 4, 3)",0.0
"(1, 4, 4)",8.0
"(1, 4, 5)",20.0
"(2, 5, 1)",82.0
"(2, 5, 2)",201.0
"(2, 5, 3)",156.0
"(2, 5, 4)",174.0
"(2, 5, 5)",163.0
"(2, 6, 1)",61.0
"(2, 6, 2)",191.0
"(2, 6, 3)",154.0
"(2, 6, 4)",155.0
"(2, 6, 5)",166.0
"(2, 7, 1)",36.0
"(2, 7, 2)",138.0
"(2, 7, 3)",105.0
"(2, 7, 4)",109.0
"(2, 7, 5)",126.0
"(2, 8, 1)",19.0
"(2, 8, 2)",57.0
"(2, 8, 3)",48.0
"(2, 8, 4)",58.0
"(2, 8, 5)",48.0
"(6, 9, 1)",73.0
"(6, 9, 2)",212.0
"(6, 9, 3)",151.0
"(6, 9, 4)",171.0
"(6, 9, 5)",166.0
"(6, 10, 1)",66.0
"(6, 10, 2)",192.0
"(6, 10, 3)",151.0
"(6, 10, 4)",162.0
"(6, 10, 5)",166.0
"(6, 11, 1)",60.0
"(6, 11, 2)",208.0
"(6, 11, 3)",181.0
"(6, 11, 4)",163.0
"(6, 11, 5)",144.0
"(7, 12, 1)",0.0
"(7, 12, 2)",134.0
"(7, 12, 3)",107.0
"(7, 12, 4)",114.0
"(7, 12, 5)",135.0
"(7, 13, 1)",0.0
"(7, 13, 2)",53.0
"(7, 13, 3)",44.0
"(7, 13, 4)",55.0
"(7, 13, 5)",49.0
"(4, 14, 1)",75.0
"(4, 14, 2)",204.0
"(4, 14, 3)",164.0
"(4, 14, 4)",181.0
"(4, 14, 5)",184.0
"(4, 15, 1)",81.0
"(4, 15, 2)",206.0
"(4, 15, 3)",163.0
"(4, 15, 4)",176.0
"(4, 15, 5)",186.0
"(4, 16, 1)",73.0
"(4, 16, 2)",202.0
"(4, 16, 3)",160.0
"(4, 16, 4)",172.0
"(4, 16, 5)",162.0
"(4, 17, 1)",76.0
"(4, 17, 2)",202.0
"(4, 17, 3)",165.0
"(4, 17, 4)",188.0
"(4, 17, 5)",185.0
"(5, 18, 1)",66.0
"(5, 18, 2)",192.0
"(5, 18, 3)",152.0
"(5, 18, 4)",158.0
"(5, 18, 5)",168.0
"(5, 19, 1)",69.0
"(5, 19, 2)",192.0
"(5, 19, 3)",152.0
"(5, 19, 4)",160.0
"(5, 19, 5)",163.0
"(5, 20, 1)",58.0
"(5, 20, 2)",190.0
"(5, 20, 3)",152.0
"(5, 20, 4)",148.0
"(5, 20, 5)",161.0
"(3, 21, 1)",70.0
"(3, 21, 2)",195.0
"(3, 21, 3)",165.0
"(3, 21, 4)",180.0
"(3, 21, 5)",179.0
"(3, 22, 1)",86.0
"(3, 22, 2)",210.0
"(3, 22, 3)",169.0
"(3, 22, 4)",170.0
"(3, 22, 5)",187.0
